State,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Andaman & Nicobar Islands,12,9,0,0,0,0,0,3,0,0,46
Andhra Pradesh,388344,15766,192514,192508,192331,0,30,180034,192888,24,40
Arunachal Pradesh,2639,675,1910,1098,976,51,1,2,2136,40,1
Assam,252043,132459,17384,9901,43,14337,75,87788,1943,559,82
Bihar,466052,100202,337895,272838,152621,19441,396,8118,93078,118455,581
Chandigarh,6120,3,6117,6117,0,0,0,0,6117,0,2
Chhattisgarh,392736,41923,296784,272379,142262,50829,405,2795,300013,978,255
Dadra & Nagar Haveli,1527,0,1039,1039,998,320,0,168,1040,0,0
Daman & Diu,1097,5,669,669,559,302,2,119,671,1,1
Delhi,13947,188,710,687,543,12942,39,68,474,42,56
Goa,2593,79,2464,2417,2401,28,2,20,680,1254,2
Gujarat,678540,646,515114,515011,129,26543,34,136203,514780,28,89
Haryana,104538,10274,67831,64809,57728,24100,110,2223,56139,1363,200
Himachal Pradesh,5607,1191,2999,2383,2128,992,10,415,1423,106,11
Jammu & Kashmir,85107,21698,50367,39498,10470,10027,18,2997,14551,2900,61
Jharkhand,259614,1310,210023,210023,180182,14988,59,33234,210247,82,202
Karnataka,406170,28489,331476,310939,241904,34338,119,11748,165614,27617,1
Kerala,45142,11190,27994,24682,21197,5414,30,514,19397,1117,341
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,859970,114736,570884,533893,259409,135507,213,38630,479498,3618,279
Maharashtra,973920,73792,775448,696102,523240,109393,397,14890,561576,22318,501
Manipur,26431,6092,19330,14995,11674,735,13,261,5331,807,68
Meghalaya,289,68,166,6,0,55,0,0,1,2,2
Mizoram,1889,240,1504,1423,1155,55,2,88,1216,211,1
Nagaland,25610,25050,530,1,0,1,13,16,287,10,0
Odisha,248937,20178,210852,196226,96747,17050,44,813,45481,7438,48
Puducherry,9297,760,6769,6623,6146,1716,10,42,1775,73,2
Punjab,108216,5882,93342,85036,65047,7782,31,1179,75874,2004,2348
Rajasthan,458872,25220,352872,343099,233936,66666,222,13892,287984,6411,1235
Sikkim,1012,0,1003,990,945,7,0,2,777,5,2
Tamil Nadu,522147,41734,444597,405151,310547,25787,117,9912,360249,6881,378
Telangana,223158,100268,122864,122864,118291,0,17,9,122919,15,28
Tripura,409,179,216,43,43,1,1,12,7,3,3
Uttar Pradesh,2796557,225709,823703,760588,556754,1562438,4648,180059,296969,141627,10892
Uttarakhand,23282,4389,15383,12627,5194,3106,27,377,6202,746,124
West Bengal,128525,66252,22544,17296,5645,3145,124,36460,25266,115,197
